No,Word,Sentence
1,parent,my parent always supports my education.
2,department,she works in the science department at school.
3,scourge,plastic waste has become a scourge to the ocean.
4,ocean,the ocean looks calm in the morning.
5,sometimes,i sometimes read books before sleeping.
6,banana,he eats a banana every morning.
7,feather,a white feather floated gently to the ground.
8,vulture,a vulture circled high above the desert.
9,viable,this plan is viable for the future.
10,confidence,she spoke with confidence during the presentation.
11,pianist,the pianist played beautifully on stage.
12,baker,the baker sells fresh bread every day.
13,roast,we roast chicken for sunday dinner.
14,editor,the editor corrected all the mistakes.
15,aural,he has strong aural skills in music class.
16,manager,the manager praised the team for their hard work.
17,building,the building has twenty floors.
18,snowfall,heavy snowfall covered the town overnight.
19,peanut,he is allergic to peanut products.
20,judge,the judge listened carefully to both sides.
21,bought,she bought a new pair of shoes.
22,orchestra,the orchestra performed a classical song.
23,february,february has fewer days than other months.
24,socks,i lost one of my socks again.
25,umbrella,she carried an umbrella because it was raining.
26,astronaut,the astronaut floated inside the spacecraft.
27,capable,she is capable of solving difficult problems.
28,popsicle,the popsicle melted under the hot sun.
29,different,everyone has different opinions.
30,curtains,the curtains blocked the sunlight.
31,skinny,the skinny cat slipped through the fence.
32,motorbike,he rides his motorbike to work every day.
33,champion,the champion lifted the trophy proudly.
34,secretary,the secretary answered the phone politely.
35,anticipate,i anticipate a great holiday this year.
36,handshake,they greeted each other with a firm handshake.
37,gymnast,the gymnast practiced every afternoon.
38,elbow,he hurt his elbow while playing basketball.
39,resonate,her words resonate with many people.
40,passive,he remained passive during the discussion.
41,theatre,we watched a play at the theatre.
42,holiday,we went to bali for the holiday.
43,rubber,rubber bands are very flexible.
44,emerald,the emerald ring sparkled brightly.
45,concern,i have concern for your safety.
46,fraction,she learned how to solve a fraction.
47,snorkeling,we went snorkeling near the coral reef.
48,scorpion,a scorpion hid under the rock.
49,cash,he paid for the food with cash.
50,sister,my sister helps me with homework.
51,mastodon,the mastodon is an extinct animal.
52,keyboard,she typed quickly on the keyboard.
53,remember,remember to turn off the lights.
54,ribbon,the gift was wrapped with a red ribbon.
55,sandwich,he packed a sandwich for lunch.
56,mistake,everyone makes a mistake sometimes.
57,atonal,the music sounded atonal and unusual.
58,wristwatch,his wristwatch stopped working.
59,glamorous,she wore a glamorous dress to the party.
60,seaport,the seaport was busy with ships.
61,spider,a spider built a web in the corner.
62,future,she dreams about the future.
63,curious,the curious child asked many questions.
64,ulcer,the doctor treated the stomach ulcer.
65,dessert,we shared dessert after dinner.
66,mansion,the mansion looked grand and old.
67,planet,earth is a planet in the solar system.
68,infant,the infant slept peacefully.
69,denominator,find the denominator in the fraction.
70,fireworks,fireworks lit up the night sky.
71,milestone,graduating from school is a milestone.
72,green,the leaves are bright green.
73,kayak,they paddled the kayak across the lake.
74,pineapple,she cut a fresh pineapple.
75,descendent,he is a descendent of a royal family.
76,length,measure the length of the table.
77,centurion,the centurion led the soldiers bravely.
78,zebra,a zebra crossed the road slowly.
79,lawyer,the lawyer gave helpful advice.
80,great,you did a great job on the test.
81,verbal,she has strong verbal communication skills.
82,stoat,the stoat has brown fur in summer.
83,recipe,follow the recipe carefully.
84,city,the city is busy at night.
85,blouse,she bought a new blouse.
86,landscape,the landscape looked beautiful at sunset.
87,meant,i meant to call you earlier.
88,satellite,the satellite orbits the earth.
89,thailand,thailand is famous for its beaches.
90,helicopter,the helicopter landed safely.
91,tornado,the tornado damaged several houses.
92,cabbage,she chopped cabbage for soup.
93,minus,five minus two equals three.
94,opinion,everyone has an opinion.
95,candidate,the candidate gave a strong speech.
96,grandmother,my grandmother tells wonderful stories.
97,python,the python slithered through the grass.
98,sandpit,children played in the sandpit.
99,mixture,mix the ingredients into a smooth mixture.
100,receptionist,the receptionist welcomed the guests.
101,swell,the waves began to swell as the storm approached.
102,stool,he sat on a wooden stool.
103,tongue,the doctor checked his tongue
104,college,she plans to study abroad after college.
105,museum,the museum displays ancient artifacts.
106,seaweed,seaweed washed up on the shore.
107,barefoot,the children walked barefoot on the sand.
108,earthquake,the earthquake shook the entire city.
109,shellfish,some people are allergic to shellfish.
110,button,press the button to start the machine.
111,nationality,what is your nationality?
112,grave,the old grave was covered with moss.
113,delightful,we had a delightful afternoon together.
114,coat,she wore a thick coat in winter.
115,suburbs,they live in the quiet suburbs.
116,cousin,my cousin visits us every holiday.
117,diplomatic,the leaders held diplomatic talks.
118,operation,the operation was successful.
119,comfortable,this chair is very comfortable.
120,spicy,i like spicy food.
121,nephew,my nephew is learning to read.
122,camera,she took photos with her camera.
123,official,the announcement is now official.
124,employee,the employee arrived early.
125,fancy,she wore a fancy dress to the party.
126,strawberry,he picked fresh strawberry from the farm.
127,volcanic,the island has volcanic mountains.
128,fountain,water sprayed from the fountain.
129,partial,he gave a partial answer.
130,medium,i ordered a medium-sized drink.
131,crowded,the bus was crowded this morning.
132,sleepy,i feel sleepy after lunch.
133,village,the village is peaceful and quiet.
134,homework,she finished her homework early.
135,penguin,the penguin waddled across the ice.
136,saddle,the saddle was placed on the horse.
137,amateur,he is an amateur photographer.
138,magazine,she reads a magazine every week.
139,thirsty,i feel thirsty after running.
140,already,i have already finished my work.
141,understand,i understand the lesson now.
142,ugliest,that was the ugliest hat i've ever seen.
143,concept,the concept is easy to understand.
