No,Word,Sentence
1,alveoli,alveoli help the lungs exchange oxygen.
2,anemone,the sea anemone lives among coral reefs.
3,aphorism,the teacher shared an aphorism about honesty.
4,apothecary,the apothecary prepared herbal medicine.
5,bouillabaisse,bouillabaisse is a traditional french fish soup.
6,bouquet,he gave her a bouquet of flowers.
7,cacophony,the street was filled with a cacophony of sounds.
8,cerulean,the cerulean sky looked calm and clear.
9,chameleon,a chameleon changes color to blend in.
10,charcuterie,the board displayed a variety of charcuterie.
11,chiaroscuro,the painting uses chiaroscuro for strong contrast.
12,cognac,cognac is a type of french brandy.
13,connoisseur,the connoisseur appreciated fine art.
14,ecclesiastical,the church follows ecclesiastical traditions.
15,eclecticism,her style shows eclecticism in design.
16,epitome,she is the epitome of kindness.
17,euouae,euouae appears in medieval musical notation.
18,gnocchi,gnocchi is a soft italian pasta.
19,gourmet,the chef prepared a gourmet meal.
20,haphazard,the books were stacked in a haphazard way.
21,heinous,the crime was considered heinous.
22,hyperbole,saying a million times is hyperbole.
23,isthmus,an isthmus connects two larger lands.
24,macabre,the story had a macabre tone.
25,ophthalmologist,an ophthalmologist checks eye health.
26,pharaoh,the pharaoh ruled ancient egypt.
27,phlegm,phlegm protects the lungs from dust.
28,plenipotentiary,the diplomat acted as a plenipotentiary.
29,pneumonia,pneumonia can cause serious breathing problems.
30,pseudonym,the author wrote under a pseudonym.
31,psychiatrist,a psychiatrist helps treat mental illness.
32,psychosomatic,stress can cause psychosomatic symptoms.
33,quixotic,his quixotic dream ignored reality.
34,schadenfreude,he felt schadenfreude at his rival’s failure.
35,sphygmomanometer,a sphygmomanometer measures blood pressure.
36,surreptitious,they exchanged surreptitious glances.
37,synecdoche,wheels is a synecdoche for a car.
38,thorough,do a thorough review before the test.
39,visceral,the movie caused a visceral reaction.
40,worcestershire,worcestershire sauce adds strong flavor.
41,prenuptial,a prenuptial agreement can help couples discuss finances responsibly.
42,oxygenate,aquatic plants help oxygenate the pond and support fish life.
43,manipulable,data becomes manipulable when it is stored in digital form.
44,mulligan,the teacher allowed a mulligan so students could redo the quiz.
45,churlish,his churlish behavior showed a lack of respect for others.
46,sophisticated,the software uses sophisticated algorithms to detect errors.
47,succulent,succulents are ideal plants for learning about water conservation.
48,annihilate,unchecked pollution can annihilate fragile ecosystems.
49,axiomatic,it is axiomatic that practice improves language skills.
50,sabermetrics,sabermetrics uses statistics to analyze baseball performance.
51,riviera,the riviera is known for its mild climate and tourism economy.
52,nebulous,the concept seemed nebulous until the teacher explained it clearly.
53,bedraggled,the bedraggled hikers learned the importance of preparation.
54,sarcophagus,the sarcophagus protected the mummy for thousands of years.
55,indefatigable,her indefatigable curiosity made her a great researcher.
56,elocution,elocution classes help students speak clearly and confidently.
57,laconic,his laconic answers forced others to ask better questions.
58,genus,humans belong to the genus homo in biological classification.
59,rectitude,the judge was respected for his moral rectitude.
60,surrogate,the robot acted as a surrogate teacher during the experiment.
61,ulterior,asking good questions helps reveal ulterior motives.
62,dowager,the dowager funded educational programs in the village.
63,excision,excision of damaged tissue can prevent further infection.
64,legionnaire,the legionnaire studied discipline and teamwork in training.
65,emblazoned,the school logo was emblazoned on every student uniform.
66,sternutation,sternutation is the scientific term for sneezing.
67,inundate,heavy rain can inundate lowland farming areas.
68,uncouth,his uncouth remarks highlighted the need for better manners.
69,pianola,the pianola demonstrated early automation in music technology.
70,subcutaneous,the vaccine was injected into the subcutaneous layer of skin.
71,wunderkind,the wunderkind excelled in mathematics at a young age.
72,onerous,the onerous task taught students about time management.
73,diaphanous,the diaphanous fabric illustrated how light passes through materials.
74,longitude,longitude helps determine a location east or west on earth.
75,alacrity,she accepted the challenge with alacrity and enthusiasm.
76,filial,filial responsibility emphasizes respect toward parents.
77,macrocosm,society can be seen as a macrocosm of human behavior.
78,allegiance,citizenship often involves allegiance to national laws.
79,agoraphobia,agoraphobia can limit a person’s ability to engage socially.
80,maverick,the scientist was a maverick who challenged old theories.
81,choreographer,the choreographer studied anatomy to improve movement design.
82,wearisome,repetitive tasks can become wearisome without motivation.
83,bulbous,the bulbous shape of the flask helps distribute heat evenly.
84,basaltic,basaltic rock forms from cooled volcanic lava.
85,tortoise,the tortoise teaches patience through its slow movement.
86,retrograde,some cultures viewed certain planets as retrograde symbols.
87,leguminous,leguminous plants enrich soil by fixing nitrogen.
88,visage,facial expressions reveal much about a person’s visage.
89,umpirage,fair umpirage is essential for maintaining sports integrity.
90,scorpion,the scorpion is studied for its unique venom properties.
91,surmountable,obstacles become surmountable with planning and effort.
92,partridge,the partridge is commonly studied in wildlife biology.
93,ceramics,ceramics demonstrate the chemistry of heat and minerals.
